Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2023-09-25,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,IK Sirius,0,1,0-1,A,wikipedia,wikipedia,football-data
2023-09-30,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Halmstads BK,1,0,1-0,H,wikipedia,wikipedia,football-data
2023-09-30,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Kalmar FF,1,0,1-0,H,wikipedia,wikipedia,football-data
2023-10-01,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,AIK,2,0,2-0,H,wikipedia,wikipedia,football-data
2023-10-01,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,IFK Göteborg,1,1,1-1,D,wikipedia,wikipedia,football-data
2023-10-01,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,Degerfors IF,3,2,3-2,H,wikipedia,wikipedia,football-data
2023-10-01,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,IFK Värnamo,2,3,2-3,A,wikipedia,wikipedia,football-data
2023-10-02,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Varbergs BoIS,2,1,2-1,H,wikipedia,wikipedia,football-data
2023-10-02,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,IF Brommapojkarna,2,1,2-1,H,wikipedia,wikipedia,football-data
2023-10-07,2023,Sweden,Allsvenskan,1,Domestic,AIK,Mjällby AIF,1,0,1-0,H,wikipedia,wikipedia,football-data
2023-10-07,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,Degerfors IF,0,0,0-0,D,wikipedia,wikipedia,football-data
2023-10-07,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IK Sirius,0,1,0-1,A,wikipedia,wikipedia,football-data
2023-10-08,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,BK Häcken,2,2,2-2,D,wikipedia,wikipedia,football-data
2023-10-08,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,IF Elfsborg,0,3,0-3,A,wikipedia,wikipedia,football-data
2023-10-08,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,IFK Norrköping,2,1,2-1,H,wikipedia,wikipedia,football-data
2023-10-08,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Malmö FF,1,0,1-0,H,wikipedia,wikipedia,football-data
2023-10-08,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,Djurgårdens IF,0,1,0-1,A,wikipedia,wikipedia,football-data
2023-10-21,2023,Sweden,Allsvenskan,1,Domestic,Degerfors IF,Kalmar FF,1,3,1-3,A,wikipedia,wikipedia,football-data
2023-10-21,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,IF Brommapojkarna,3,2,3-2,H,wikipedia,wikipedia,football-data
2023-10-22,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,IFK Norrköping,4,1,4-1,H,wikipedia,wikipedia,football-data
2023-10-22,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Hammarby,0,0,0-0,D,wikipedia,wikipedia,football-data
2023-10-22,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,Mjällby AIF,1,1,1-1,D,wikipedia,wikipedia,football-data
2023-10-22,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,Varbergs BoIS,5,0,5-0,H,wikipedia,wikipedia,football-data
2023-10-23,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,AIK,3,0,3-0,H,wikipedia,wikipedia,football-data
2023-10-23,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,IFK Göteborg,3,1,3-1,H,wikipedia,wikipedia,football-data
2023-10-28,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,Djurgårdens IF,1,2,1-2,A,wikipedia,wikipedia,football-data
2023-10-28,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,Degerfors IF,1,1,1-1,D,wikipedia,wikipedia,football-data
2023-10-29,2023,Sweden,Allsvenskan,1,Domestic,AIK,Halmstads BK,1,1,1-1,D,wikipedia,wikipedia,football-data
2023-10-29,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Malmö FF,0,1,0-1,A,wikipedia,wikipedia,football-data
2023-10-29,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,IFK Värnamo,1,3,1-3,A,wikipedia,wikipedia,football-data
2023-10-29,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,BK Häcken,2,1,2-1,H,wikipedia,wikipedia,football-data
2023-10-30,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,IK Sirius,2,2,2-2,D,wikipedia,wikipedia,football-data
2023-10-30,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IF Elfsborg,1,2,1-2,A,wikipedia,wikipedia,football-data
2023-11-04,2023,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,IK Sirius,2,4,2-4,A,wikipedia,wikipedia,football-data
2023-11-04,2023,Sweden,Allsvenskan,1,Domestic,IFK Värnamo,Hammarby,0,0,0-0,D,wikipedia,wikipedia,football-data
2023-11-05,2023,Sweden,Allsvenskan,1,Domestic,BK Häcken,Malmö FF,4,2,4-2,H,wikipedia,wikipedia,football-data
2023-11-05,2023,Sweden,Allsvenskan,1,Domestic,Halmstads BK,Kalmar FF,3,0,3-0,H,wikipedia,wikipedia,football-data
2023-11-05,2023,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Degerfors IF,2,2,2-2,D,wikipedia,wikipedia,football-data
2023-11-05,2023,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,IF Brommapojkarna,1,2,1-2,A,wikipedia,wikipedia,football-data
2023-11-06,2023,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,AIK,1,1,1-1,D,wikipedia,wikipedia,football-data
2023-11-06,2023,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Varbergs BoIS,4,3,4-3,H,wikipedia,wikipedia,football-data
2023-11-12,2023,Sweden,Allsvenskan,1,Domestic,AIK,IFK Värnamo,3,1,3-1,H,wikipedia,wikipedia,football-data
2023-11-12,2023,Sweden,Allsvenskan,1,Domestic,Degerfors IF,Mjällby AIF,1,2,1-2,A,wikipedia,wikipedia,football-data
2023-11-12,2023,Sweden,Allsvenskan,1,Domestic,Hammarby,Halmstads BK,2,2,2-2,D,wikipedia,wikipedia,football-data
2023-11-12,2023,Sweden,Allsvenskan,1,Domestic,IF Brommapojkarna,BK Häcken,2,1,2-1,H,wikipedia,wikipedia,football-data
2023-11-12,2023,Sweden,Allsvenskan,1,Domestic,IK Sirius,IFK Norrköping,2,0,2-0,H,wikipedia,wikipedia,football-data
2023-11-12,2023,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Djurgårdens IF,2,1,2-1,H,wikipedia,wikipedia,football-data
2023-11-12,2023,Sweden,Allsvenskan,1,Domestic,Malmö FF,IF Elfsborg,1,0,1-0,H,wikipedia,wikipedia,football-data
2023-11-12,2023,Sweden,Allsvenskan,1,Domestic,Varbergs BoIS,IFK Göteborg,1,2,1-2,A,wikipedia,wikipedia,football-data
